state,value,lat_state,lon_state
Arizona,1,33.729761,-111.431224
Arkansas,1,34.969705,-92.373124
Hawaii,1,21.094319,-157.498339
Kansas,1,38.526599,-96.726489
Maine,1,44.693948,-69.381924
Oregon,1,44.57202,-122.070939
Colorado,2,39.05981,-105.311105
Iowa,2,42.011538,-93.210526
Mississippi,2,32.741647,-89.678697
New Mexico,2,34.840514,-106.248483
Vermont,2,44.045877,-72.710689
Louisiana,3,31.169546,-91.867805
Oklahoma,3,35.565342,-96.928919
New Hampshire,4,43.452491,-71.563899
Utah,4,40.150032,-111.862433
Wisconsin,4,44.268544,-89.616509
Alabama,6,32.806673,-86.791133
Indiana,6,39.849425,-86.258278
Minnesota,6,45.694455,-93.900189
South Carolina,7,33.856893,-80.945011
Washington,7,47.400902,-121.490493
Delaware,8,39.318522,-75.507138
Illinois,8,40.349455,-88.986137
Kentucky,9,37.668141,-84.670064
Michigan,10,43.326618,-84.536093
Missouri,11,38.456087,-92.288368
West Virginia,11,38.491226,-80.954452
Tennessee,12,35.747845,-86.692343
California,13,36.116203,-119.681563
Florida,13,27.766279,-81.686782
Ohio,13,40.388781,-82.764916
District of Columbia,15,38.897439,-77.026816
Texas,15,31.054487,-97.56346
Connecticut,19,41.597781,-72.755369
Georgia,19,33.040618,-83.643072
Massachusetts,22,42.230173,-71.530104
North Carolina,31,35.630066,-79.806417
Pennsylvania,51,40.590752,-77.209755
New Jersey,57,40.298904,-74.521013
Maryland,60,39.063944,-76.802101
New York,77,42.165724,-74.948052
